2020 FINAL,D,Click for full image,2020/render2.png,2020/render2.png,Final Render East Approach,MAXWELL RENDER,SPRING 2012,,,img/2020/render2.png
2020 FINAL,D,Click for full image,2020/render3.png,2020/render3.png,Final Render North Approach (Night),MAXWELL RENDER,SPRING 2012,,,img/2020/render3.png
2020 FINAL,,Click for full image,2020/render4.png,2020/render4.png,Final Render East Approach (Night),MAXWELL RENDER,SPRING 2012,,,img/2020/render4.png
MAPPING,S,,2020/sympathetic.png,2020/sympathetic.png,Urban Grid Displacement Study,GRASSHOPPER,SPRING 2012,,,
MAPPING,,,2020/sympathetic2.png,2020/sympathetic2.png,Urban Grid Displacement Study,GRASSHOPPER,SPRING 2012,,,
3010 FINAL,,,3010/final0.png,3010/final0.png,Final Header,DIGITAL,FALL 2012,,,
3010 FINAL,,,3010/final1.png,3010/final1.png,Final Experiental Render,"MAXWELL, PHOTOSHOP",FALL 2012,,,
3010 FINAL,,,3010/final2.png,3010/final2.png,Final Experiental Render,"MAXWELL, PHOTOSHOP",FALL 2012,,,
3010 FINAL,,,3010/final3.png,3010/final3.gif,Transportation Diagram,PHOTOSHOP,FALL 2012,,,
3010 FINAL,,,3010/final4.png,3010/final4.gif,Diagram,PHOTOSHOP,FALL 2012,,,
3010 FINAL,,,3010/final5.png,3010/final5.gif,Diagram,PHOTOSHOP,FALL 2012,,,
3010 FINAL,,,3010/final6.png,3010/final6.gif,Diagram,PHOTOSHOP,FALL 2012,,,
3010 FINAL,D,,3010/final7.png,3010/final7.gif,Diagram,PHOTOSHOP,FALL 2012,,,
3010 FINAL,D,,3010/final8.png,3010/final8d.png,Aerial Composite,PHOTOSHOP,FALL 2012,,,
3010 FINAL,D,Click for full image,3010/infographic.png,3010/infographicd.jpg,Infographic,ILLUSTRATOR,FALL 2012,,,img/3010/infographic.jpg
MAPPING,S,,3010/mapping1.png,3010/mapping1.png,Density Study,"GIS, GRASSHOPPER",FALL 2012,,,
MAPPING,,,3010/mapping2.png,3010/mapping2.png,Commuter Study,"CENSUS DATA, GRASSHOPPER",FALL 2012,,,
