2010,M,Check out my video!,2010/blocking1.png,2010/blocking1.JPG,2010/blocking1.JPG,WOOD,FALL 2012,,,http://www.vimeo.com/adkaplan/
2010,M,,2010/blocking2.png,2010/blocking2.JPG,2010/blocking2.JPG,WOOD,FALL 2012,,,
2010,M,,2010/blocking3.png,2010/blocking3.JPG,2010/blocking3.JPG,WOOD,FALL 2012,,,
knot project,M,,2010/build1.png,2010/build1.jpg,2010/build1.jpg,CHIPBOARD,FALL 2012,,,
knot project,M,,2010/build2.png,2010/build2.jpg,2010/build2.jpg,CHIPBOARD,FALL 2012,,,
2010,M,,2010/build3.png,2010/build3.jpg,2010/build3.jpg,WOOD,FALL 2012,,,
2010 Final,M,,2010/Diagrams.png,2010/Diagrams.png,2010/Diagrams.png,DIGITAL,FALL 2012,,,
2010,M,,2010/draft.png,2010/drafts.png,2010/drafts.png,DRAFTED,FALL 2012,,,
knot project,M,,2010/First.png,2010/First.png,2010/First.png,DIGITAL,FALL 2012,,,
knot project,M,,2010/fourth.png,2010/fourth.png,2010/fourth.png,DIGITAL,FALL 2012,,,
2010 Final,M,,2010/fromrhino.png,2010/FromRhino.jpg,2010/FromRhino.jpg,DIGITAL,FALL 2012,,,
2010 Final,M,,2010/frontrender.png,2010/frontrender.png,2010/frontrender.png,DIGITAL,FALL 2012,,,
2010 Final,M,,2010/Interior2.png,2010/Interior2.png,2010/Interior2.png,DIGITAL,FALL 2012,,,
2010 Final,M,,2010/Interior3.png,2010/Interior3.bmp,2010/Interior3.bmp,DIGITAL,FALL 2012,,,
2010 Final,M,,2010/interior4.png,2010/interior4.JPG,2010/interior4.JPG,DIGITAL,FALL 2012,,,
2010 Final,M,,2010/interior5.png,2010/interior5.JPG,2010/interior5.JPG,DIGITAL,FALL 2012,,,
2010 Final,M,,2010/modelext.png,2010/model.JPG,2010/model.JPG,"WOOD, CHIPBOARD",FALL 2012,,,
2010 Final,M,,2010/model2.png,2010/model2.JPG,2010/model2.JPG,"WOOD, CHIPBOARD",FALL 2012,,,
2010 Final,M,,2010/model3.png,2010/model3.JPG,2010/model3.JPG,CHIPBOARD,FALL 2012,,,
2010 Final,M,,2010/model4.png,2010/model4.JPG,2010/model4.JPG,CHIPBOARD,FALL 2012,,,
2010 Final,M,Click for full image,2010/section1.png,2010/section1.png,2010/section1.png,,FALL 2012,,,img/2010/section1.png
2010 Final,M,,2010/section2.png,2010/section2.png,2010/section2.png,,FALL 2012,,,
2010,M,,2010/striker.png,2010/striker.png,2010/striker.png,,FALL 2012,,,
2010,M,,2010/Third.png,2010/Third.png,2010/Third.png,,FALL 2012,,,
2010,M,,2010/tinymodel.png,2010/tinymodel1.JPG,2010/tinymodel1.JPG,,FALL 2012,,,
2010,M,,2010/tinymodel2.png,2010/tinymodel2.JPG,2010/tinymodel2.JPG,,FALL 2012,,,
2010,M,,2010/tinymodel3.png,2010/tinymodel3.JPG,2010/tinymodel3.JPG,,FALL 2012,,,
2020 Final,D,,2020/final1.png,2020/final1.JPG,2020/final1.JPG,,,,,
2020 Final,D,,2020/final2.png,2020/final2.JPG,2020/final2.JPG,,,,,
2020 Final,D,,2020/final3.png,2020/final3.JPG,2020/final3.JPG,,,,,
2020 Final,D,,2020/final4.png,2020/final4.JPG,2020/final4.JPG,,,,,
2020 Final,D,,2020/final5.png,2020/final5.JPG,2020/final5.JPG,,,,,
2020 Final,D,,2020/final7.png,2020/final6.jpg,2020/final6.jpg,,,,,
